V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15
178	195	41	6	53	95	354	45	328	381	210	369	325	63	121
46	260	389	241	27	363	94	76	147	321	31	269	259	197	48
19	178	41	236	32	40	219	293	134	228	139	246	49	247	100
339	217	224	176	19	282	126	47	63	317	383	39	133	161	138
52	340	163	153	345	390	170	314	278	1	246	135	275	238	121
309	269	137	14	278	153	90	348	47	202	290	362	354	300	235
15	155	170	41	390	242	206	55	286	214	158	274	268	53	172
321	200	395	95	92	238	120	6	172	221	302	58	83	235	228
217	32	176	116	36	231	219	28	85	180	101	215	195	64	339
95	22	355	77	257	219	195	391	49	268	298	8	327	112	322
55	298	115	346	105	40	46	128	385	222	137	98	37	327	132
160	168	136	273	249	106	164	43	395	381	18	85	313	127	115
275	1	37	314	222	227	280	312	251	23	151	384	211	83	403
147	121	2	130	306	149	376	212	34	268	66	97	117	325	59
262	53	309	97	123	12	358	184	232	251	148	246	266	304	4
139	106	167	83	71	395	227	369	345	275	351	333	137	212	131
363	244	164	335	224	338	279	300	281	85	372	203	31	400	32
206	261	373	58	233	295	40	185	29	168	169	178	387	368	226
62	194	374	77	377	315	266	214	263	36	371	46	60	247	304
169	248	69	254	216	186	347	312	144	231	390	113	45	384	358
194	260	255	348	86	284	90	293	124	83	62	139	243	82	39
99	100	345	399	69	401	178	280	28	338	335	392	189	90	83
224	392	157	43	299	211	153	309	378	241	292	359	296	263	143
369	251	219	390	258	140	6	183	287	225	196	195	174	212	177
400	70	286	325	161	320	25	334	341	121	111	209	18	101	401
382	208	60	25	73	114	331	378	101	64	374	167	79	7	113
109	97	356	332	286	191	70	248	32	165	348	93	116	242	383
119	261	63	195	374	320	382	184	178	172	246	78	191	396	198
51	325	327	187	42	70	306	317	136	244	1	167	93	285	249
72	201	165	202	108	348	111	38	214	6	15	242	166	300	98
356	369	94	237	207	389	161	27	145	158	344	330	205	156	50
33	90	50	93	254	210	156	198	218	11	259	229	167	400	231
312	192	148	209	93	293	21	218	320	125	53	309	282	229	274
321	178	205	219	335	304	289	316	176	179	346	236	193	84	79
326	386	378	183	216	107	198	40	162	6	340	367	348	277	261
397	265	173	171	395	289	20	273	349	300	97	209	366	302	123
119	172	366	228	168	28	23	338	293	346	320	362	135	2	75
209	164	270	165	54	167	82	112	68	172	348	66	357	176	298
348	12	233	198	68	300	237	93	336	321	402	179	136	28	389
290	401	236	389	116	19	39	22	379	346	188	307	177	356	41
111	347	341	13	122	74	300	211	15	217	319	52	216	92	213
315	291	63	262	222	234	67	232	90	50	271	257	243	337	131
235	362	352	276	274	403	31	339	112	53	30	394	65	224	384
152	309	51	232	126	239	223	268	32	332	81	40	149	323	385
37	195	357	55	73	87	228	369	299	174	368	216	136	13	4
23	217	259	211	178	326	22	50	127	145	191	332	20	226	87
158	344	101	254	160	159	266	138	372	123	117	373	17	35	29
372	23	254	225	6	101	82	391	231	207	138	44	45	90	202
381	114	205	257	300	176	356	145	235	5	163	261	106	244	369
82	32	255	342	401	215	235	384	180	55	337	202	187	362	348
90	52	305	349	123	28	101	51	293	62	284	359	16	190	388
67	179	365	377	164	197	235	380	397	220	76	154	14	33	174
65	128	266	259	346	156	270	4	35	214	229	356	72	163	5
300	41	11	120	326	50	133	350	240	302	389	319	251	373	360
243	20	249	275	68	376	188	145	328	193	214	359	207	258	210
302	74	276	380	300	212	295	149	107	53	256	324	341	309	391
191	383	352	15	154	90	41	101	229	224	178	283	253	159	237
374	240	73	14	183	132	379	125	71	277	286	212	75	313	363
362	237	216	64	283	370	186	190	354	254	208	330	128	273	301
133	2	348	175	389	314	110	190	371	136	84	390	20	339	258
290	56	260	58	253	333	194	110	228	301	32	105	185	76	235
366	75	89	122	291	247	187	259	343	144	269	126	178	396	284
231	153	400	213	306	394	163	381	398	38	76	315	305	179	300
239	320	205	74	9	150	366	259	300	99	396	49	7	231	340
266	116	177	387	82	133	169	26	59	258	402	265	93	173	237
44	153	105	134	180	239	291	107	50	282	241	14	293	400	220
162	84	364	90	332	242	401	254	9	265	8	94	203	77	346
39	398	293	258	223	302	61	157	169	178	110	323	311	273	384
396	223	195	366	30	216	231	162	156	295	230	226	368	392	92
112	187	369	255	177	240	290	73	398	346	189	337	164	70	389
16	349	403	240	50	63	149	98	220	126	212	165	344	247	311
197	357	92	105	174	340	112	325	363	326	139	93	253	242	109
374	368	346	38	137	178	251	365	49	339	268	294	231	18	2
245	301	194	41	296	4	174	220	297	333	251	200	157	341	14
307	170	265	140	104	43	103	331	93	281	301	239	242	135	172
165	90	112	60	30	141	40	370	11	270	199	309	327	98	356
169	256	386	247	16	353	375	50	284	88	149	114	207	383	254
259	395	359	364	26	334	116	11	208	345	163	54	315	211	22
150	226	220	308	394	242	3	315	91	314	401	191	32	190	289
113	91	206	283	365	31	270	383	316	307	312	97	15	323	242
158	155	54	298	317	154	14	181	141	142	91	239	268	346	135
11	192	28	398	35	111	59	298	149	332	249	120	143	225	387
311	214	395	324	20	184	397	13	256	94	252	101	236	319	309
299	234	148	312	14	371	366	339	98	184	142	289	216	396	390
399	105	13	27	131	228	130	299	72	341	301	97	159	63	60
77	72	99	149	182	87	181	315	360	255	287	272	24	263	232
300	17	18	166	110	218	221	270	187	198	351	348	352	237	24
274	182	240	285	217	138	322	292	12	21	148	120	172	256	104
263	293	84	329	37	288	164	60	383	118	218	222	292	22	175
161	70	338	304	389	261	148	69	226	156	63	68	378	76	43
388	157	147	7	44	378	125	158	115	20	348	171	49	150	197
55	167	111	372	170	76	166	51	348	10	299	385	369	178	149
163	56	366	306	113	22	374	3	292	398	391	305	104	171	271
303	403	316	267	314	253	245	77	161	81	291	272	103	106	240
291	353	385	276	80	33	376	371	188	38	236	30	154	7	346
3	194	351	4	243	190	303	208	140	365	191	172	317	130	142
161	177	309	52	340	263	157	363	355	155	150	264	74	351	387
337	246	378	357	365	280	201	86	171	124	316	351	260	276	257
329	262	153	116	248	283	119	190	50	328	343	256	371	209	208
276	308	312	373	394	261	87	322	131	381	225	112	200	134	348
384	273	300	345	190	3	358	184	241	210	147	236	92	229	30
215	10	72	174	378	95	168	279	329	375	284	302	108	45	15
333	369	269	315	46	378	52	355	364	233	266	335	312	108	373
299	357	177	271	292	359	70	258	106	249	324	163	222	193	358
245	16	251	116	284	298	229	366	270	285	67	34	66	328	134
222	265	19	230	388	184	392	364	198	401	43	152	114	83	307
219	333	316	119	10	360	46	384	44	110	330	126	317	208	162
381	188	45	220	75	182	155	394	323	386	134	98	211	379	367
190	110	313	338	25	364	226	397	312	385	214	174	91	76	283
317	122	72	245	319	365	7	344	345	212	147	101	393	2	105
46	81	294	340	247	108	270	30	401	309	296	277	224	234	261
390	298	317	258	62	108	10	15	114	329	251	172	52	49	344
88	24	60	286	127	90	132	2	273	137	320	46	36	250	119
25	24	88	353	31	315	131	269	50	360	346	167	377	324	399
357	339	19	243	398	25	312	63	295	310	118	50	61	149	400
123	351	71	137	354	122	317	187	155	310	291	367	149	40	360
98	343	370	71	170	382	307	224	222	388	335	306	141	333	51
245	109	317	15	102	201	184	248	147	113	92	399	93	213	214
175	167	375	402	101	250	208	266	173	178	36	319	155	223	271
125	270	168	251	268	233	113	395	147	327	1	69	383	64	326
61	349	167	365	373	129	357	179	270	196	354	45	100	313	234
203	191	399	302	288	361	139	89	144	114	389	346	231	314	116
63	234	163	319	374	228	398	206	310	334	390	67	175	331	393
147	279	358	202	256	340	272	226	282	396	5	15	120	333	315
133	190	104	180	116	367	203	72	175	140	100	229	259	97	163
52	335	279	202	302	58	328	336	395	242	167	249	230	140	178
191	121	89	117	141	322	208	281	350	328	95	124	195	386	97
159	243	79	33	330	87	200	111	363	41	285	106	303	28	129
33	350	340	355	57	61	128	238	55	148	277	363	321	310	84
184	237	107	124	263	261	94	113	217	150	10	60	114	78	13
102	364	333	97	205	238	214	371	58	3	208	13	351	186	24
125	390	387	358	99	164	16	51	205	82	304	97	223	143	394
123	383	323	32	11	297	59	83	26	111	43	362	143	141	31
251	154	342	256	281	201	56	231	312	129	359	394	335	5	15
263	286	123	245	277	380	215	78	360	33	201	241	66	3	101
371	370	133	220	285	56	68	26	382	327	373	45	244	270	334
303	214	373	75	95	82	366	206	68	171	374	350	87	363	232
106	107	379	240	71	39	297	344	162	32	173	360	327	378	85
167	392	286	24	226	68	175	290	319	314	343	152	395	274	249
279	53	115	210	351	105	337	304	37	280	209	92	311	303	232
320	271	174	134	149	151	255	41	309	65	80	122	57	121	357
67	123	1	306	287	43	292	233	183	120	54	341	369	353	290
392	147	23	349	159	252	95	242	165	328	223	178	339	303	106
283	204	156	285	34	373	284	140	122	241	369	119	340	167	39
243	42	235	103	375	401	46	384	372	400	108	196	146	348	323
401	348	369	395	19	61	389	162	148	396	374	362	204	240	24
396	99	266	272	308	264	103	236	160	258	137	77	166	283	191
387	14	279	130	22	385	197	220	30	179	204	56	268	155	170
378	396	138	130	342	200	172	124	37	182	377	80	350	122	14
402	129	319	186	280	8	196	28	75	397	287	159	396	389	114
377	369	157	223	161	137	244	105	394	90	353	331	200	346	271
20	170	337	25	135	233	399	261	169	215	398	93	156	331	136
105	370	289	225	134	41	93	231	222	363	387	386	229	141	74
220	345	269	34	254	52	158	186	246	391	347	279	310	181	153
214	14	120	165	204	37	115	199	387	188	323	89	384	125	322
105	338	126	12	308	314	265	216	289	292	213	98	29	378	325
258	26	365	334	359	338	42	220	297	259	84	281	326	167	217
168	181	281	135	323	13	206	308	167	384	300	184	325	401	235
71	159	121	191	179	348	35	100	324	251	371	65	27	224	52
325	233	394	244	192	361	333	292	42	363	331	287	275	174	13
75	392	25	368	231	281	141	190	218	5	142	321	351	7	390
174	283	323	96	271	325	369	37	267	280	400	132	239	384	383
150	380	128	237	162	92	84	296	337	111	100	65	25	226	224
300	159	38	316	104	22	182	26	286	84	271	107	17	181	115
168	327	122	307	227	397	395	96	191	198	101	87	339	321	243
384	13	61	266	125	67	165	317	362	243	324	277	312	148	366
248	266	250	190	89	378	344	126	9	390	277	36	160	252	276
382	188	362	182	139	189	8	26	380	344	381	326	276	332	218
279	45	302	199	16	214	204	181	111	290	178	295	67	180	328
199	177	136	156	187	231	230	54	43	180	2	317	385	304	308
187	128	57	106	273	149	195	250	352	347	374	346	22	160	345
114	359	27	315	72	35	272	43	337	242	345	386	395	233	194
205	363	276	332	240	396	37	8	124	163	40	287	179	370	399
54	267	306	305	140	268	210	281	202	2	289	315	311	28	243
293	109	330	32	108	3	52	152	93	79	249	38	227	170	289
18	270	170	212	384	82	385	166	346	237	45	155	152	241	142
401	328	161	100	89	289	345	218	137	290	278	192	379	160	212
347	109	284	156	354	356	22	101	276	294	195	193	40	55	111
306	89	329	18	60	152	66	58	326	234	291	352	103	301	70
247	106	219	207	267	251	53	274	142	121	199	229	209	120	212
390	391	107	154	114	185	196	322	78	7	289	13	49	116	101
375	57	343	197	281	40	218	136	369	66	254	159	1	381	347
7	136	34	55	319	53	395	323	79	106	339	333	261	385	64
384	180	165	73	18	35	316	395	266	47	146	387	272	118	135
5	134	273	216	181	297	243	335	30	339	244	36	280	60	336
65	180	67	307	2	82	187	272	359	207	177	325	336	137	322
203	150	36	325	340	214	289	22	250	130	72	352	351	307	330
151	28	301	348	323	58	145	373	271	191	134	185	305	163	96
398	384	235	35	318	32	378	31	154	239	176	275	57	356	226
333	254	260	184	245	176	206	231	186	388	296	89	169	181	166
313	189	190	307	271	23	55	333	339	323	84	105	89	232	141
89	364	39	73	34	42	261	107	397	368	99	348	164	119	198
114	274	253	97	130	275	197	141	3	347	235	340	190	74	14
286	206	329	394	278	362	209	288	234	134	291	210	229	133	65
192	24	261	237	332	20	110	292	321	170	146	378	214	316	125
165	329	345	242	302	172	164	377	200	397	2	365	296	346	396
166	239	312	321	102	373	58	32	190	250	209	22	294	280	80
357	395	225	188	350	135	302	47	217	289	51	173	93	326	139
164	329	391	135	209	124	118	397	354	350	133	325	197	179	265
8	355	228	132	383	317	312	215	48	366	361	359	226	315	324
